doc_id, a_name, avg annotation too long, annotation too long, length of non-highlighted portion too long, not enough words highlighted 
9, 'A248ARSA6FS20S', 0, 0, 0, 0
9, 'A2H45V728GQPVQ', 1, 0, 0, 1
9, 'A2UF2FRGVW4T89', 0, 0, 0, 1
9, 'A2YKFDGF4WVI1O', 0, 0, 0, 0
9, 'A61GHYNS1DFT7', 0, 0, 0, 0
10, 'A1E2T84AUMW6ZC', 0, 0, 0, 0
10, 'A2R07W1GEVTICX', 0, 0, 0, 0
10, 'A2YKFDGF4WVI1O', 0, 0, 0, 0
10, 'A34L4JED8UAIXC', 0, 0, 0, 0
10, 'ABREDVJ6LQDOF', 1, 0, 0, 1
11, 'A19C4VNUIIRCPD', 1, 0, 1, 1
11, 'A207IHY6GERCFO', 0, 0, 0, 1
11, 'A2R07W1GEVTICX', 0, 0, 0, 0
11, 'A2UF2FRGVW4T89', 1, 0, 1, 1
11, 'ASSDGKLK7DWH4', 0, 0, 0, 0
12, 'A1E2T84AUMW6ZC', 0, 0, 0, 0
12, 'A1QUNP6IYOQMZ5', 0, 0, 0, 0
12, 'A2YKFDGF4WVI1O', 0, 0, 0, 0
12, 'A3N73CDZCKJ1BK', 1, 0, 0, 0
12, 'A8VBDRZPXTP8F', 0, 0, 0, 0
13, 'A12F04QMP1PYY9', 0, 0, 0, 0
13, 'A1GFD4B3NOMWIY', 1, 0, 0, 0
13, 'A2UF2FRGVW4T89', 1, 0, 0, 1
13, 'A34L4JED8UAIXC', 0, 0, 1, 0
13, 'A37I58C4258IPX', 1, 0, 0, 0
14, 'A207IHY6GERCFO', 1, 0, 0, 0
14, 'A24EAYGSHOXEGP', 0, 0, 0, 0
14, 'A2HXTXD0IMKUN0', 0, 0, 0, 0
14, 'A2QD7QFGCUNF5N', 1, 0, 0, 1
14, 'A39UWTSPMRRYWU', 1, 0, 1, 1
15, 'A24EAYGSHOXEGP', 0, 0, 0, 0
15, 'A27ZCDEK4SSJWR', 0, 0, 0, 0
15, 'A39UWTSPMRRYWU', 0, 0, 0, 0
